id,title_word_count,document_entropy,freshness,easiness,fraction_stopword_presence,normalization_rate,speaker_speed,silent_period_rate,engagement
1,9,7.753994717,16310,75.58393595,0.553663953,0.034048853,2.997752809,0.0,True
2,6,8.305268689,15410,86.87052311,0.58449793,0.01876294,2.635789474,0.0,False
3,3,7.965582864,15680,81.91596845,0.605685465,0.030719853,2.538095238,0.0,False
4,9,8.142876983,15610,80.14893717,0.593663912,0.016873278,2.259055118,0.0,False
5,9,8.161250122,14920,76.90754874,0.581636808,0.023412052,2.42,0.0,False
6,10,8.182951921,16180,76.68413294,0.575289575,0.023648649,2.244808743,0.0,False
7,10,8.10163486,12760,85.30317307,0.600231899,0.018423087,2.458496732,0.196126299,False
8,9,7.733063619,11460,97.57219013,0.687274537,0.008956338,1.992327366,0.289207627,False
9,7,8.219794107,15070,87.00897467,0.600454459,0.018557091,1.715436242,0.0,False
10,10,7.71418174,14840,88.65047847,0.617900172,0.018932874,2.210576923,0.0,False
11,3,8.715222806,15040,84.43267341,0.589764754,0.015187784,2.762997658,0.0,False
12,8,8.095788902,13910,84.31858738,0.625840451,0.018171906,2.457534247,0.215046316,False
13,11,6.428691666,17400,80.6340242,0.654564315,0.038381743,0.810169492,0.622948845,True
14,5,8.245118495,15200,87.49943703,0.614032947,0.015497254,2.787414966,0.0,False
15,1,8.075497607,14780,80.12093679,0.578846154,0.025274725,2.547142857,0.219737369,False
16,5,7.677043685,14500,84.33604388,0.626019576,0.018352365,1.812686567,0.372209475,False
17,8,7.498832754,15500,85.56519173,0.604806409,0.014686248,2.036111111,0.0,False
18,4,8.107111028,14010,87.95737509,0.638907248,0.015642212,2.568208092,0.228035474,False
19,12,7.916329772,14050,83.53792496,0.644230769,0.030375874,2.432065217,0.280979491,False
20,7,7.964062879,17390,81.97303115,0.577718224,0.039050536,2.409345794,0.011811941,False
21,6,8.067037011,13770,80.81760143,0.587974508,0.024383486,2.735658915,0.201446421,False
22,3,7.356005018,14950,72.50193386,0.517857143,0.022619048,1.985714286,0.0,True
23,7,8.41266958,15420,82.38472497,0.598233496,0.020269505,2.529737609,0.0,False
24,7,7.534232866,14800,77.88206699,0.611510791,0.017350825,2.41122449,0.0,False
25,7,7.620646281,14410,82.97895422,0.642130178,0.018698225,1.813362069,0.264485399,False
26,9,7.71797419,14880,76.35433156,0.602809208,0.018728053,2.712903226,0.0,False
27,13,7.831793866,12090,83.17834292,0.612511388,0.023990282,2.111258278,0.22676052,False
28,4,4.600456034,13780,105.3431564,0.767441861,0.023255814,0.372727273,0.791511877,True
29,10,8.564868134,14680,84.83657601,0.61262941,0.016167018,9.919201995,0.164463593,False
30,11,6.799487308,12970,70.29884615,0.569672131,0.036885246,2.34,0.0,True
31,5,8.113974577,14200,93.12526658,0.639467694,0.013132551,1.801954397,0.397843865,False
32,6,7.770940618,15600,87.28879486,0.628996283,0.022156134,1.991768293,0.0,False
33,10,7.859184797,15870,76.77612061,0.588581519,0.035609182,2.711290323,0.0,False
34,10,7.699913499,15290,95.10755208,0.66720517,0.016155089,0.607023411,0.0,False
35,3,8.04830777,15900,87.34577737,0.594350168,0.016156895,2.991875,0.039211719,False
36,13,7.985239091,14740,75.20011096,0.588993981,0.026440241,2.73313253,0.151622546,False
37,16,7.682845894,12690,100.1786914,0.672098169,0.013277007,2.0,0.407765947,False
38,9,7.245117379,15320,73.89609587,0.623229462,0.026912181,3.172727273,0.0,True
39,2,7.90037973,14940,84.91800527,0.573033708,0.023793787,2.3140625,0.0,False
40,15,8.033697759,15450,93.95696407,0.62428653,0.010987443,1.976900585,0.0,True
41,17,7.665190829,15220,85.29020122,0.621649485,0.026460481,2.09057971,0.0,False
42,9,8.111657987,14490,85.99883844,0.651521708,0.024087697,2.517279412,0.317384286,False
43,9,7.716274881,15800,82.78197368,0.604847595,0.017260375,2.652475248,0.0,False
44,11,8.206756462,16020,77.8481766,0.560443251,0.033691516,2.150847458,0.079877639,False
45,9,7.903582299,14590,77.26925795,0.609094982,0.032706093,2.2065,0.245561286,False
46,5,8.25775795,13890,91.25966014,0.61640651,0.01129193,2.467323944,0.29963802,False
47,4,7.961145951,14040,94.56843144,0.662063213,0.013624988,2.139676113,0.333889088,False
48,7,7.576311793,15870,83.77728863,0.584648884,0.055525313,1.52,0.0,False
49,4,8.446083611,13620,96.25071827,0.636190778,0.007843448,1.775146199,0.0,False
50,8,8.242647226,15320,89.03005408,0.64222128,0.016391126,2.212861736,0.0,False
51,7,7.76268658,14070,78.93355811,0.564917859,0.036565978,1.558823529,0.382352423,False
52,7,8.408344273,14400,84.19821326,0.600916892,0.02785941,2.372649573,0.206382719,False
53,7,7.945315516,15130,85.25698698,0.626086957,0.021233569,2.638043478,0.175476459,False
54,8,7.771345554,16310,79.78669561,0.572580645,0.030913979,2.372043011,0.0,False
55,4,7.725681717,13740,82.7807061,0.60410831,0.026143791,1.853508772,0.270990776,False
56,6,7.889278001,16240,80.19325705,0.592226389,0.021820661,2.460683761,0.0,False
